Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013334	2735	915	842	2297	709	840	1378	1430	1200	1171	992	1030	1199.97	1336	1064	0.797	-0.327	-3.266	0.00108993717865941	0.00906251304043622	0.0054	0.0067	0.0063	0.0063	TRUE	NA
FBgn0040505	108	42	39	63	20	17	54	66	56	32	28	21	42.76	59	27	0.471	-1.088	-3.264	0.00109983500947073	0.00912781285741046	0	0.0656	0.0524	0.0524	TRUE	NA
FBgn0036101	626	153	148	434	92	142	315	239	211	221	129	174	214.89	255	175	0.686	-0.543	-3.261	0.00110894531934725	0.00918634666212518	0.0069	0.0167	0.0147	0.0147	TRUE	NA
FBgn0022349	6644	1899	1929	5746	1710	1873	3346	2968	2749	2930	2392	2296	2780.05	3021	2539	0.839	-0.253	-3.261	0.00111010162029873	0.00918740265919152	0.0013	0.0055	0.0039	0.0039	TRUE	NA
FBgn0039612	10079	4101	4987	9213	3745	4320	5076	6409	7106	4698	5238	5295	5637.08	6197	5077	0.826	-0.276	-3.258	0.00112206306515572	0.00926064988155318	0.0049	0.005	0.005	0.005	TRUE	NA
FBgn0052719	230	47	34	124	19	27	116	73	48	63	27	33	60.11	79	41	0.516	-0.955	-3.258	0.00112157819863674	0.00926064988155318	0.0088	0.048	0.0403	0.0403	TRUE	NA
FBgn0263355	3566	1296	1252	2728	1205	1162	1796	2025	1784	1391	1685	1424	1684.37	1868	1500	0.801	-0.32	-3.256	0.00113111230381863	0.00931811150655016	0.0063	0.0061	0.0063	0.0063	TRUE	NA
FBgn0001967	27	17	17	7	3	7	14	27	24	4	4	9	13.46	22	6	0.258	-1.956	-3.249	0.00115819298751363	0.0095324086437758	0	0.1985	0.1457	0.1457	TRUE	NA
FBgn0030576	620	211	202	388	177	188	312	330	288	198	248	230	267.62	310	225	0.717	-0.479	-3.237	0.00120849010136391	0.00991894908564309	0	0.0143	0.0118	0.0118	TRUE	NA
FBgn0001942	120015	39634	49601	91484	40719	47693	60447	61941	70676	46651	56952	58457	59187.35	64355	54020	0.836	-0.258	-3.234	0.00121918117479646	0.00999750954171938	0.0039	0.0046	0.0046	0.0046	TRUE	NA
FBgn0039797	545	190	173	348	150	160	274	297	247	177	210	196	233.55	273	194	0.707	-0.5	-3.233	0.0012270464051866	0.0100527746773545	0	0.0157	0.0127	0.0127	TRUE	NA
FBgn0030077	799	307	349	550	246	342	402	480	497	280	344	419	403.87	460	348	0.75	-0.415	-3.23	0.0012372718185929	0.0101087258371771	0.0048	0.011	0.0093	0.0093	TRUE	NA
FBgn0023537	3537	1162	1521	2559	1216	1357	1781	1816	2167	1305	1701	1663	1738.95	1921	1556	0.804	-0.316	-3.223	0.00126871335924115	0.0103278124868035	0.0068	0.006	0.0063	0.0063	TRUE	NA
FBgn0263773	645	157	162	448	120	146	325	245	231	228	168	179	229.38	267	192	0.718	-0.477	-3.222	0.00127409120538196	0.0103621443206384	0	0.0159	0.0109	0.0109	TRUE	NA
FBgn0040477	360	112	134	195	103	103	181	175	191	99	144	126	152.84	182	123	0.659	-0.602	-3.221	0.0012753355099377	0.0103628263000398	0	0.0216	0.0182	0.0182	TRUE	NA
FBgn0036801	84	34	32	38	15	19	42	53	46	19	21	23	34.11	47	21	0.453	-1.142	-3.213	0.00131251508524261	0.0106552361011059	0	0.081	0.0567	0.0567	TRUE	NA
FBgn0034290	31	16	20	5	6	9	16	25	28	3	8	11	15.18	23	7	0.281	-1.831	-3.212	0.00131793461252103	0.0106895150679499	0	0.1764	0.1362	0.1362	TRUE	NA
FBgn0260934	14242	4741	4304	11438	4044	4562	7173	7409	6133	5833	5656	5592	6299.28	6905	5694	0.825	-0.278	-3.208	0.00133435944576386	0.0108129127501554	0.0057	0.0049	0.0052	0.0052	TRUE	NA
