Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003525	3880	1008	1064	2004	691	817	1954	1575	1516	1022	966	1001	1339.23	1682	996	0.591	-0.758	-5.523	3.3309009869505e-08	1.58654198346353e-06	0.0092	0.0152	0.0127	0.0127	TRUE	0.2502
FBgn0086365	8424	2829	3044	5614	2209	2400	4243	4421	4337	2863	3090	2942	3649.26	4334	2965	0.684	-0.548	-5.51	3.59126363823784e-08	1.6924542447505e-06	7e-04	0.0137	0.0068	0.0068	TRUE	0.0163
FBgn0010225	29953	9567	11450	21284	7671	8446	15086	14951	16315	10854	10729	10352	13047.93	15451	10645	0.689	-0.537	-5.497	3.86704082449461e-08	1.803336786585e-06	0.0014	0.0131	0.0068	0.0068	TRUE	0.0292
FBgn0267252	352	88	92	124	33	48	177	138	131	63	46	59	102.35	149	56	0.379	-1.401	-5.495	3.90628134258877e-08	1.81214832908532e-06	0.0193	0.0436	0.0344	0.0344	TRUE	0.35
FBgn0032029	917	254	309	399	167	213	462	397	440	203	234	261	332.87	433	233	0.532	-0.91	-5.481	4.23945943353432e-08	1.93645462433283e-06	0.008	0.0223	0.0164	0.0164	TRUE	0.1605
FBgn0032638	327	104	114	155	46	41	165	163	162	79	64	50	113.88	163	64	0.403	-1.311	-5.457	4.83362036733163e-08	2.19658452101137e-06	0.0111	0.0405	0.0306	0.0306	TRUE	0.4615
FBgn0039098	744	212	276	394	137	170	375	331	393	201	192	208	283.37	366	200	0.546	-0.873	-5.433	5.55540902626326e-08	2.51177808106227e-06	0	0.024	0.0146	0.0146	TRUE	0.0708
FBgn0037912	2109	773	904	1434	517	608	1062	1208	1288	731	723	745	959.66	1186	733	0.62	-0.69	-5.399	6.7063658666099e-08	3.00168848110022e-06	0.0046	0.0161	0.0106	0.0106	TRUE	0.107
FBgn0038865	594	212	268	315	121	155	299	331	382	161	169	190	255.37	337	173	0.514	-0.961	-5.378	7.53371903171686e-08	3.33844952315931e-06	0.0089	0.0252	0.0184	0.0184	TRUE	0.1477
FBgn0031258	473	133	111	194	46	52	238	208	158	99	64	64	138.54	201	76	0.381	-1.391	-5.33	9.8445057590995e-08	4.25655401923783e-06	0.0472	0.0356	0.0398	0.0398	TRUE	0.397
FBgn0000079	763	395	389	263	150	217	384	617	554	134	210	266	360.96	518	203	0.39	-1.358	-5.321	1.03155144841767e-07	4.4386612323943e-06	0.083	0.0216	0.0433	0.0433	TRUE	0.7571
FBgn0052412	2620	834	1017	1739	647	715	1320	1303	1449	887	905	876	1123.37	1357	889	0.655	-0.609	-5.306	1.12272021312935e-07	4.73936916509153e-06	9e-04	0.0156	0.0085	0.0085	TRUE	0.0407
FBgn0264693	10963	3895	3467	7213	2572	2943	5522	6087	4940	3678	3597	3607	4571.95	5516	3627	0.658	-0.604	-5.206	1.92468719273111e-07	8.00710623602831e-06	0.0051	0.0135	0.0095	0.0095	TRUE	0.1005
