Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0037850	490	180	211	773	324	369	247	281	301	394	453	452	354.73	276	433	1.574	0.654	4.1	4.12665321710505e-05	0.00101536188410925	0.0066	0.0217	0.0151	0.0151	TRUE	0.1176
FBgn0039876	396	130	133	639	207	262	199	203	190	326	290	321	254.77	197	312	1.585	0.664	4.099	4.14529416290142e-05	0.00101713870823589	0	0.0252	0.0145	0.0145	TRUE	0.0417
FBgn0085446	7165	2348	2212	8638	3696	4278	3609	3669	3152	4405	5169	5243	4207.98	3477	4939	1.42	0.505	4.074	4.62269019900407e-05	0.00112806305760354	0.0074	0.0136	0.0108	0.0108	TRUE	0.1107
FBgn0001091	5417	2371	2543	8312	4365	5149	2728	3705	3624	4239	6105	6311	4452.02	3352	5552	1.657	0.728	4.071	4.68038469624606e-05	0.00113902148878316	0.0339	0.0136	0.0228	0.0228	TRUE	0.5259
FBgn0000490	319	114	98	512	208	202	161	178	140	261	291	248	213.01	160	267	1.669	0.739	4.069	4.72901280011274e-05	0.00114771980955325	0.0015	0.0276	0.0184	0.0184	TRUE	0.1016
FBgn0063491	1686	543	646	2252	874	1128	849	849	920	1148	1222	1383	1061.94	873	1251	1.433	0.519	4.059	4.93815265012844e-05	0.00119522080583408	0.0049	0.0158	0.0107	0.0107	TRUE	0.1011
FBgn0000565	1010	306	397	1321	604	761	509	478	566	674	845	933	667.3	518	817	1.574	0.655	4.058	4.9516439415868e-05	0.00119523828150985	0.0163	0.0176	0.017	0.017	TRUE	0.2973
FBgn0031268	164	67	58	350	106	135	83	105	83	178	148	165	127.03	90	164	1.852	0.889	4.055	5.01569975088815e-05	0.00120417352240325	0.005	0.0376	0.0254	0.0254	TRUE	0.1562
FBgn0051361	2360	862	807	3234	1240	1421	1189	1347	1150	1649	1734	1742	1468.48	1229	1708	1.391	0.477	4.047	5.19252270812639e-05	0.00123332799363418	0.003	0.015	0.0092	0.0092	TRUE	0.0814
FBgn0033777	1657	533	555	2498	809	880	835	833	791	1274	1132	1079	990.39	820	1162	1.419	0.505	4.036	5.43094834133406e-05	0.00128652810841124	0.0038	0.016	0.0101	0.0101	TRUE	0.0906
